LIFNR,NAME1,LAND1,ORT01,STRAS,KTOKK,ERDAT
100000,Alpha Freight Logistics,AE,Kochi,446 Industrial Ave,KRED,2023-03-10
100001,Baltic Marine Supply,US,Frankfurt,162 Industrial Ave,KRED,2020-10-20
100002,Continental Parts Co,DE,Kochi,465 Industrial Ave,LIEF,2018-11-05
100003,Desert Fuel Traders,IN,Dallas,4 Industrial Ave,KRED,2022-12-21
100004,Emirates Ground Services,AE,Dubai,977 Industrial Ave,LIEF,2019-02-06
100005,FastTrack Components,AE,London,740 Industrial Ave,LIEF,2018-07-27
100006,Global Turbine Parts,DE,Houston,897 Industrial Ave,KRED,2018-03-02
100007,Horizon Catering Group,DE,Kochi,737 Industrial Ave,KRED,2019-01-18
100008,Inland Steel Supply,AE,Dubai,270 Industrial Ave,LIEF,2020-08-26
100009,Jetstream Avionics,US,Houston,996 Industrial Ave,LIEF,2019-11-13
100010,Kestrel Cargo Handling,US,Frankfurt,513 Industrial Ave,LIEF,2022-07-23
100011,Lumina IT Solutions,IN,Frankfurt,781 Industrial Ave,LIEF,2023-06-13
100012,Meridian MRO Services,US,Houston,183 Industrial Ave,LIEF,2023-05-26
100013,Northgate Office Supplies,AE,Frankfurt,520 Industrial Ave,KRED,2020-05-25
100014,Orbit Fuel Systems,AE,Dubai,935 Industrial Ave,KRED,2022-07-01
100015,Pinnacle Ground Equipment,GB,Kochi,109 Industrial Ave,KRED,2018-08-29
100016,Quantum Safety Gear,AE,Dubai,892 Industrial Ave,KRED,2019-11-06
100017,Redline Tires & Wheels,US,Dubai,641 Industrial Ave,LIEF,2022-04-02
100018,Sahara Facilities Mgmt,IN,Houston,306 Industrial Ave,KRED,2018-01-09
100019,Titan Hydraulics,GB,London,862 Industrial Ave,KRED,2022-05-19
100020,Union Aviation Spares,US,London,655 Industrial Ave,KRED,2020-12-22
100021,Vertex Cleaning Services,IN,Kochi,520 Industrial Ave,KRED,2023-02-07
100022,Westport Logistics,US,Houston,624 Industrial Ave,KRED,2021-03-14
100023,Xenon Electrical Supply,GB,London,204 Industrial Ave,KRED,2022-09-29
100024,Yalta Marine Fuel,AE,Frankfurt,157 Industrial Ave,KRED,2023-06-17
100025,Zenith Catering Ltd,GB,London,383 Industrial Ave,KRED,2019-09-27
100026,Union Aviation Spares 26,AE,Frankfurt,781 Industrial Ave,KRED,2020-02-17
100027,Desert Fuel Traders 27,GB,Kochi,166 Industrial Ave,LIEF,2021-04-30
100028,Alpha Freight Logistics 28,DE,Dubai,553 Industrial Ave,KRED,2020-06-10
100029,Xenon Electrical Supply 29,US,Dubai,977 Industrial Ave,KRED,2018-08-28
100030,Inland Steel Supply 30,US,London,798 Industrial Ave,LIEF,2018-09-07
100031,Horizon Catering Group 31,DE,Frankfurt,945 Industrial Ave,LIEF,2021-07-08
100032,Horizon Catering Group 32,AE,Dallas,544 Industrial Ave,KRED,2018-08-23
100033,Emirates Ground Services 33,US,Dallas,941 Industrial Ave,KRED,2018-07-25
100034,Xenon Electrical Supply 34,DE,Dallas,1 Industrial Ave,LIEF,2023-05-07
100035,Desert Fuel Traders 35,US,Dubai,614 Industrial Ave,KRED,2023-08-22
100036,Vertex Cleaning Services 36,IN,Houston,332 Industrial Ave,LIEF,2023-12-16
100037,Xenon Electrical Supply 37,AE,Dubai,501 Industrial Ave,LIEF,2019-10-07
100038,Redline Tires & Wheels 38,IN,Houston,20 Industrial Ave,KRED,2018-08-21
100039,Continental Parts Co 39,AE,Frankfurt,115 Industrial Ave,KRED,2023-09-12
100040,Sahara Facilities Mgmt 40,DE,London,952 Industrial Ave,KRED,2018-11-25
100041,Northgate Office Supplies 41,AE,Dallas,372 Industrial Ave,LIEF,2020-02-01
100042,Baltic Marine Supply 42,AE,Frankfurt,900 Industrial Ave,LIEF,2018-10-08
100043,Alpha Freight Logistics 43,DE,Frankfurt,852 Industrial Ave,LIEF,2018-10-06
100044,Continental Parts Co 44,AE,London,827 Industrial Ave,LIEF,2020-08-21
100045,Global Turbine Parts 45,US,Frankfurt,315 Industrial Ave,LIEF,2022-07-12
100046,Horizon Catering Group 46,GB,London,246 Industrial Ave,KRED,2019-05-07
100047,Quantum Safety Gear 47,DE,Kochi,60 Industrial Ave,KRED,2020-10-05
100048,Titan Hydraulics 48,GB,London,247 Industrial Ave,KRED,2018-06-12
100049,Alpha Freight Logistics 49,DE,Dallas,900 Industrial Ave,LIEF,2018-12-02
100050,Redline Tires & Wheels 50,DE,Houston,581 Industrial Ave,LIEF,2022-09-14
100051,Global Turbine Parts 51,IN,Houston,970 Industrial Ave,KRED,2023-11-12
100052,Westport Logistics 52,IN,Dallas,81 Industrial Ave,KRED,2021-07-19
100053,Union Aviation Spares 53,AE,Houston,88 Industrial Ave,KRED,2020-12-04
100054,Westport Logistics 54,GB,London,750 Industrial Ave,KRED,2020-04-16
100055,Redline Tires & Wheels 55,DE,Kochi,498 Industrial Ave,LIEF,2021-07-10
100056,Northgate Office Supplies 56,AE,Houston,836 Industrial Ave,KRED,2020-09-04
100057,Horizon Catering Group 57,US,Kochi,71 Industrial Ave,LIEF,2020-12-23
100058,Orbit Fuel Systems 58,DE,Dallas,779 Industrial Ave,KRED,2022-06-10
100059,Sahara Facilities Mgmt 59,US,Kochi,546 Industrial Ave,LIEF,2019-06-21
